text1	text2	label
""" PeopleSoft has consistently maintained that the proposed combination of PeopleSoft and Oracle faces substantial regulatory delays and a significant likelihood that the transaction would be prohibited . """	PeopleSoft has argued that an Oracle takeover would face substantial regulatory delays and a significant likelihood that the transaction would be prohibited .	equivalent
Tuition at four-year private colleges averaged $ 19,710 this year , up 6 percent from 2002 .	For the current academic year , tuition at public colleges averaged $ 4,694 , up almost $ 600 from the year before .	equivalent
Mr. Parsons has been director of the Stennis Center , which specializes in rocket engine research and testing , since August .	Mr. Parsons has served as the director at the Stennis Space Center , which employs 4,600 people , since August .	not_equivalent
Full classes of 48 are booked through September , he said , and the Transportation Security Administration plans to double its classes in January .	Full classes of 48 each are booked through the end of September , he said , and the agency plans to double its classes in January .	equivalent
""" We must defend those whom we dislike or even despise , "" said Neal R. Sonnett , a Miami lawyer who led an association panel on enemy combatants ."	""" We must defend those whom we dislike or even despise , "" said Neal Sonnett , a Miami lawyer who headed an ABA task force on enemy combatants ."	equivalent
Global HRT sales , which are dominated by Wyeth of the US , were worth $ 3.8bn in 2001 , according to Data- monitor , the London-based market research company .	Global HRT sales were worth $ 3.8bn ( 2.4bn ) in 2001 , according to Datamonitor , the London-based market research company .	equivalent
FBI spokesman Steve Lazarus did not immediately return a phone call for comment on Friday .	Adaptable and Carter 's Trading Co. did not immediately return calls seeking comment on Wednesday .	not_equivalent
Against the dollar , the euro rose as high as $ 1.1535 -- a fresh four-year high -- in morning trade before standing at $ 1.1518 / 23 at 0215 GMT .	Against the dollar , the euro rose as high as $ 1.1537 , a fresh four-year high and up a half cent from around $ 1.1480 in late U.S. trade .	not_equivalent
Solomon 5.5 is available initially in the United States and Canada , for a starting price of about $ 12,700 .	Solomon 5.5 is now available in the U.S. and Canada through Microsoft Business Solutions resellers .	not_equivalent
The woman was hospitalized June 15 , Kansas health officials said .	Missouri health officials said he had not been hospitalized and is recovering .	not_equivalent
Two brothers who were among seven Portland suspects accused of aiding terrorists have decided to plead guilty to conspiring to aid al-Qaida and the Taliban , officials said Wednesday .	Two brothers who were among seven people accused of aiding terrorists pleaded guilty yesterday to charges of conspiring to help Al Qaeda and the Taliban during the war in Afghanistan .	equivalent
The company has agreed terms on the purchase of the paper division of the Dutch office supplies group Buhrmann , the largest paper distributor in Europe .	The company has reached agreement on the terms for buying the paper division of the Dutch office supplies group Buhrmann , the largest paper distributor in Europe .	equivalent
Federal Judge William Barbour said Tuesday he imposed the maximum sentence because Avants showed no remorse in the brutal slaying .	U.S. District Judge William Barbour said he imposed the maximum because Avants showed no remorse .	equivalent
AMC has since asked the experienced Fluor company of the US to produce a detailed costing of the project , but the report is still two weeks away .	AustMag has since asked the experienced US company Fluor to produce a detailed costing of the project but the report is still two weeks away .	equivalent
Lee Peterson testified that he reached his son on his cell phone and talked to him for a couple of minutes .	Lee said he reached Scott on his cell phone and they talked for a couple minutes between noon and 2 p.m. on Dec. 24 .	equivalent
U.S. Agriculture Secretary Ann Veneman said she will send a U.S. technical team to Canada to assist in the situation .	U.S. Agriculture Secretary Ann Veneman , who announced yesterday 's ban , also said Washington would send a technical team to Canada to assist in the Canadian situation .	not_equivalent
"Also demonstrating box-office strength _ and getting seven Tony nominations _ was a potent revival of Eugene O 'Neill 's family drama , "" Long Day 's Journey Into Night . """	"Also demonstrating box-office strength -- and getting seven Tony nominations -- was a potent revival of Eugene ONeills family drama , Long Days Journey Into Night . """	equivalent
Yeager said the suspect in the Target attack showed tendencies of being a prior offender .	Yeager said the incident appeared to be isolated , but the suspect showed tendencies of being a prior offender .	not_equivalent
The Communicator can also consolidate e-mail from multiple screen names and other POP and IMAP accounts into a single application .	AOL Communicator can consolidate e-mail from multiple AOL screen names , as well as from other POP and IMAP-based e-mail accounts .	equivalent
State Rep. Ron Wilson , D-Houston , joined committee Republicans in voting for the map .	State Rep. Ron Wilson , a Houston Democrat , joined nine Republicans in approving the bill Saturday .	equivalent
Microsoft fell 5 percent before the open to $ 27.45 from Thursday 's close of $ 28.91 .	Shares in Microsoft slipped 4.7 percent in after-hours trade to $ 27.54 from a Nasdaq close of $ 28.91 .	not_equivalent
"Andrew Sugden , an evolutionary biology expert and international managing editor of Science , described the find as a "" milestone . . . this research has broken the size barrier for rodents "" ."	"Andrew Sugden , an evolutionary biology expert and the international managing editor of Science , described the find as a "" milestone "" ."	not_equivalent
NBC probably will end the season as the second most popular network behind CBS , although it 's first among the key 18-to- 49-year-old demographic .	NBC will probably end the season as the second most-popular network behind CBS , which is first among the key 18-to-49-year-old demographic .	not_equivalent
""" This is a wide-ranging and continuing investigation which is likely to result in numerous other charges , "" Mr Spitzer said ."	""" This is a widening and continuing investigation , which is likely to result in numerous other charges , "" Mr. Spitzer said yesterday at a news conference ."	equivalent
The 5,000 members have already pledged to relocate to the selected state , Free State Project organizers say .	"The project already has more than 5,000 members committed to relocating to the "" free state . """	equivalent
Sovereign , based in Philadelphia , expects to close the acquisition in the first quarter of 2004 .	Sovereign said it expects the merger to close in the first quarter of 2004 , subject to regulatory and First Essex shareholder approval .	not_equivalent
El Watan , an Algerian newspaper , reported that the kidnappers fiercely resisted the army assault this morning , firing Kalashnikov rifles .	El Watan , an Algerian newspaper , reported that the kidnappers put up fierce resistance during the army assault , firing Kalashnikov rifles .	equivalent
""" We have found the smoking gun , "" investigating board member Scott Hubbard said ."	""" We have found the smoking gun , "" said Hubbard , director of NASA 's Ames Research Center in California ."	equivalent
An airplane carrying Spanish peacekeepers back from Afghanistan crashed into a fog-shrouded mountain in Turkey and exploded Monday , killing all 75 people aboard .	A charter plane crashed in Turkey on Monday , killing all 75 people aboard , including 62 Spanish peacekeepers returning from Afghanistan , officials said .	equivalent
But in the first 30 seconds after Young entered the ring , the family knew it was an uneven match , Meyers said .	But in the first 30 seconds of the bout , family members knew it was an uneven match , Jodie Meyers , Stacy Young 's sister , said .	equivalent
ConAgra stock closed Monday on the New York Stock Exchange at $ 21.63 a share , down 11 cents .	ConAgra shares closed Monday at $ 21.63 a share , down 11 cents , on the New York Stock Exchange .	equivalent
In recent years , Mr. Hampton continued to run into trouble , facing charges of fare-beating and credit-card theft .	In recent years , Hampton kept in touch with friends and stayed in trouble : He faced charges of fare-beating and credit-car theft .	not_equivalent
The migrants were first spotted by a Coast Guard jet around 2 p.m. Tuesday and two small patrol boats were sent to the area , Doss said .	The Cubans were spotted by a Coast Guard jet around 2 p.m. Tuesday and two vessels were sent out to the area , Petty Officer Ryan Doss said .	equivalent
The technology-laced Nasdaq Composite Index .IXIC inched down 1 point , or 0.11 percent , to 1,650 .	The broad Standard & Poor 's 500 Index .SPX inched up 3 points , or 0.32 percent , to 970 .	not_equivalent
"There are more surprises than you can possibly imagine , "" Gov. Gray Davis told reporters at a campaign stop in Compton ."	"There are more surprises than you can possibly imagine , "" Davis said after appearing with former U.S. president Bill Clinton at a school dedication ."	not_equivalent
"In Damascus , Syrian Information Minister Ahmad al-Hassan called the charges "" baseless and illogical "" ."	In Damascus , the Syrian Information Minister , Ahmed al-Hassan , dismissed the claim .	equivalent
Dividends are currently taxed at ordinary income tax rates of as much as 38.6 per cent .	Under current law , dividends are taxed at standard income tax rates up to 38.6 percent .	equivalent
Police spokesman Brig. Gen. Edward Aritonang confirmed Saturday that another two had been arrested , one in Jakarta and another in Magelang , Central Java .	Brigadier General Edward Aritonang , a police spokesman , confirmed yesterday that another two had been arrested , one in Jakarta and another in Magelang , Central Java .	equivalent
"Baer said he had concluded that lawyers for the two victims "" have shown , albeit barely ... that Iraq provided material support to bin Laden and al-Qaeda "" ."	"Judge Harold Baer concluded Wednesday that lawyers for the two victims "" have shown , albeit barely ... that Iraq provided material support to bin Laden and al-Qaida . """	equivalent
