text	label
THIS SECTION LIMITS TRIPADVISOR'S LIABILITY TO YOU FOR ISSUES THAT MAY ARISE IN CONNECTION WITH YOUR USE OF THIS WEBSITE.	potentially unfair
Some jurisdictions do not allow the exclusion or limitation of certain damages, so some or all of the exclusions and limitations in this section may not apply to you.	potentially unfair
Nothing in these terms and conditions, including, without limitation, Section 21, affects Your rights as a consumer to rely on such mandatory provisions of local law.	clearly fair
Provided that we have acted with professional diligence, we do not accept responsibility for losses not caused by our breach of these Terms or otherwise by our acts; losses that are not reasonably foreseeable by you and us at the time of entering into these Terms; and events beyond our reasonable control.	potentially unfair
11.2 Skype may terminate its relationship with you, or may terminate or suspend your use of the Software, User Account(s), Products or Skype Websites at any time and without recourse to the courts:	potentially unfair
Nothing in these Terms is intended to exclude or limit our liability for death, personal injury or fraudulent misrepresentation caused by our negligence, or to affect your statutory rights.	clearly fair
So we cannot—and do not—take responsibility for any content that others provide through the Services.	potentially unfair
If you reside outside of the United States, Canada, and Brazil, these Terms and the relationship between you and Evernote (including any dispute) shall be governed in all respects by the laws of Switzerland and shall be considered to have been made and accepted in Switzerland, without regard to conflict of law provisions.	potentially unfair
TO THE FULLEST EXTENT PERMITTED BY LAW (AND UNLESS LINKEDIN HAS ENTERED INTO A SEPARATE WRITTEN AGREEMENT THAT OVERRIDES THIS CONTRACT), LINKEDIN, INCLUDING ITS AFFILIATES, WILL NOT BE LIABLE IN CONNECTION WITH THIS CONTRACT FOR LOST PROFITS OR LOST BUSINESS OPPORTUNITIES, REPUTATION (E.G., OFFENSIVE OR DEFAMATORY STATEMENTS), LOSS OF DATA (E.G., DOWN TIME OR LOSS, USE OF, OR CHANGES TO, YOUR INFORMATION OR CONTENT) OR ANY INDIRECT, INCIDENTAL, CONSEQUENTIAL, SPECIAL OR PUNITIVE DAMAGES.	potentially unfair
We are not obligated to publish any information or content on our Service and can remove it with or without notice.	clearly unfair
TO THE MAXIMUM EXTENT PERMITTED BY LAW, PINTEREST SHALL NOT BE LIABLE FOR ANY INDIRECT, INCIDENTAL, SPECIAL, CONSEQUENTIAL OR PUNITIVE DAMAGES, OR ANY LOSS OF PROFITS OR REVENUES, WHETHER INCURRED DIRECTLY OR INDIRECTLY, OR ANY LOSS OF DATA, USE, GOODWILL, OR OTHER INTANGIBLE LOSSES, RESULTING FROM (A) YOUR ACCESS TO OR USE OF OR INABILITY TO ACCESS OR USE THE SERVICE; (B) ANY CONDUCT OR CONTENT OF ANY THIRD PARTY ON THE SERVICE, INCLUDING WITHOUT LIMITATION, ANY DEFAMATORY, OFFENSIVE OR ILLEGAL CONDUCT OF OTHER USERS OR THIRD PARTIES; OR (C) UNAUTHORIZED ACCESS, USE OR ALTERATION OF YOUR TRANSMISSIONS OR CONTENT.	potentially unfair
By accessing or using Pinterest, you agree to be bound by these Terms, our Privacy Policy, our Cookies Policy and our Community Guidelines.	potentially unfair
For residents outside the United States, arbitration shall be initiated in the County of San Mateo, State of California, United States of America, and you and EA agree to submit to the personal jurisdiction of that court, in order to compel arbitration, to stay proceeding pending arbitration, or to confirm, modify, vacate or enter judgment on the award entered by the arbitrator.	clearly unfair
Nothing in these Terms shall limit or exclude (a) our liability in respect of death or personal injury caused by our negligence or for our fraud or fraudulent misrepresentation; (b) any other liability that cannot be excluded by law; or (c) your statutory rights.	clearly fair
IF YOU USE THE SERVICES FOR ANY COMMERCIAL, BUSINESS, OR RE-SALE PURPOSE, DROPBOX, ITS AFFILIATES, SUPPLIERS OR DISTRIBUTORS WILL HAVE NO LIABILITY TO YOU FOR ANY LOSS OF PROFIT, LOSS OF BUSINESS, BUSINESS INTERRUPTION, OR LOSS OF BUSINESS OPPORTUNITY.	potentially unfair
Grindr will promptly terminate without notice the accounts of Users that are determined by Grindr to be “repeat infringers.”	potentially unfair
Booking.com furthermore reserves the right to revoke and cancel the Genius membership of any individual who engages in inappropriate behavior, such as violence, threat, harassment, discrimination, obscenity or fraud in relation to Booking.com (or its employees and agents) and/or the accommodation (or its employees and agents).	potentially unfair
The liability of the Company in case of loss, or theft, the client’s luggage is limited in accordance	potentially unfair
Any promotional program may be terminated or modified by Grindr at any time in Our sole discretion.	potentially unfair
You and LinkedIn Ireland agree that claims and disputes can be litigated only in Dublin, Ireland, and we each agree to personal jurisdiction of the courts located in Dublin, Ireland.	clearly unfair
This limitation of liability won’t apply to any statutory liability that cannot be limited, to liability for death or personal injury caused by our negligence or willful misconduct, or if and to exclude our responsibility for something we have specifically promised to you.	potentially unfair
If you reside in Brazil, these Terms and the relationship between you and Evernote (including any dispute) shall be governed in all respects by the laws of Brazil and shall be considered to have been made and accepted in Brazil, without regard to conflict of law provisions.	clearly fair
Notwithstanding the foregoing jurisdiction clause, a consumer may also bring proceedings in respect of enforcement of relevant applicable Mandatory Provisions in the courts of the country in which they are domiciled, and proceedings against a consumer may be brought only in the courts of the country in which they are domiciled.	clearly fair
The Communications and these Terms are governed by the laws of the state of California, U.S.A., excluding its conflict of law provisions.	potentially unfair
Grindr may only terminate Your account if You breach this Agreement or violate the law.	potentially unfair
Some advertising or other messaging content we provide will be based upon information provided by third parties, and we shall not be responsible or liable for any loss or damage of any sort incurred by you as a result of any advertisements or other messages.	potentially unfair
Membership levels may vary and may be subject to change, at the sole discretion of Booking.com.	potentially unfair
Accordingly, you acknowledge and agree that the Products and functionality of the Software may vary from time to time.	potentially unfair
