sentence	label	label_name
i want to fly from boston at 838 am and arrive in denver at 1110 in the morning	0	flight
what flights are available from pittsburgh to baltimore on thursday morning	0	flight
what is the arrival time in san francisco for the 755 am flight leaving washington	1	flight_time
cheapest airfare from tacoma to orlando	2	airfare
round trip fares from pittsburgh to philadelphia under 1000 dollars	2	airfare
i need a flight tomorrow from columbus to minneapolis	0	flight
what kind of aircraft is used on a flight from cleveland to dallas	3	aircraft
show me the flights from pittsburgh to los angeles on thursday	0	flight
all flights from boston to washington	0	flight
what kind of ground transportation is available in denver	4	ground_service
show me the flights from dallas to san francisco	0	flight
show me the flights from san diego to newark by way of houston	0	flight
what 's the airport at orlando	5	airport
what is the cheapest flight from boston to bwi	0	flight
all flights to baltimore after 6 pm	0	flight
show me the first class fares from boston to denver	2	airfare
show me the ground transportation in denver	4	ground_service
all flights from denver to pittsburgh leaving after 6 pm and before 7 pm	0	flight
i need information on flights for tuesday leaving baltimore for dallas dallas to boston and boston to baltimore	0	flight
please give me the flights from boston to pittsburgh on thursday of next week	0	flight
i would like to fly from denver to pittsburgh on united airlines	0	flight
show me the flights from san diego to newark	0	flight
please list all first class flights on united from denver to baltimore	0	flight
what kinds of planes are used by american airlines	3	aircraft
i 'd like to have some information on a ticket from denver to pittsburgh and atlanta	2	airfare
i 'd like to book a flight from atlanta to denver	0	flight
which airline serves denver pittsburgh and atlanta	6	airline
show me all flights from boston to pittsburgh on wednesday of next week which leave boston after 2 o'clock pm	0	flight
atlanta ground transportation	4	ground_service
i also need service from dallas to boston arriving by noon	0	flight
show me the cheapest round trip fare from baltimore to dallas	2	airfare
show me all flights from new york to milwaukee on northwest airlines departing at 720 am	0	flight
flights from new york to miami	0	flight
please find a flight on delta from philadelphia to san francisco and give me the flight numbers	0	flight
i need a flight from dallas to san francisco	0	flight
fares and flights from pittsburgh to philadelphia	2	airfare
show me the airlines with first class flights	6	airline
what are the flights from st. louis to burbank sunday evening	0	flight
i 'd like to arrange a flight from pittsburgh to atlanta	0	flight
show flights from baltimore to san francisco between 6 pm and 8 pm on friday	0	flight
how far is it from orlando airport to orlando	7	distance
i would like a list of round trip flights between indianapolis and orlando florida for the twenty seventh and the twenty eighth of december	0	flight
which airline has the most arrivals in atlanta	6	airline
what airlines fly from new york to milwaukee to los angeles	6	airline
pittsburgh to denver	0	flight
which airlines serve atlanta	6	airline
show me information on ground transportation for dallas	4	ground_service
what is fare code h	8	abbreviation
show me all flights from boston to dallas fort worth both direct and connecting that arrive before noon	0	flight
i need a flight from charlotte to newark leaving today evening	0	flight
what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh	1	flight_time
flights from newark to cleveland	0	flight
what flights go from boston to pittsburgh after 6 o'clock next tuesday	0	flight
how much does the limousine service cost within pittsburgh	9	ground_fare
does us air have any flights out of atlanta to denver	0	flight
what is booking class c	8	abbreviation
i 'd like to know the shortest trip between boston and san francisco	0	flight
i would like to see information for flights from san francisco leaving after 12 pm to pittsburgh on monday	0	flight
what is the least expensive flight from denver to atlanta	0	flight
i need to know information for flights leaving dallas on tuesday evening and returning to atlanta	0	flight
what flight goes from denver to baltimore first class on united airlines arriving on may seventh	0	flight
could you please tell me the airlines that fly from toronto to san diego	6	airline
what flights do you have from burbank to tacoma washington	0	flight
what is the ground transportation from philadelphia airport to the city proper	4	ground_service
which airlines have first class flights today	6	airline
find the latest flight from san francisco to atlanta that serves a meal	0	flight
i would like to make a reservation for a flight to denver from philadelphia on this coming sunday	0	flight
give me a list of airports in baltimore	5	airport
show me flights from boston to denver on wednesday	0	flight
show me the flights from boston to baltimore	0	flight
what does fare code q mean	8	abbreviation
please give me the flights from san francisco to washington dc	0	flight
i need information from denver to pittsburgh	0	flight
from seattle to salt lake city	0	flight
what is the earliest flight from boston to bwi that serves a snack	0	flight
what types of aircraft does delta fly	3	aircraft
what is the cost of a round trip flight from pittsburgh to atlanta beginning on april twenty fifth and returning on may sixth	2	airfare
give me the flights leaving denver august ninth coming back to boston	0	flight
list all the flights that fly into general mitchell international	0	flight
what flights fly from denver to san francisco on monday tuesday wednesday thursday and friday	0	flight
list all flights from indianapolis to seattle	0	flight
in flight meal oakland to philadelphia saturday	0	flight
show me the flights on twa from atlanta in the morning	0	flight
i want to find the first flight from baltimore to boston that serves a meal	0	flight
of all airlines which airline has the most arrivals in atlanta	6	airline
display all flights from baltimore to boston on july twenty ninth	0	flight
i want to travel from atlanta to baltimore early in the morning first flight	0	flight
i now need a flight from san jose to houston leaving on sunday the fourth	0	flight
what are the flights available after 6 pm between san francisco and boston	0	flight
what flights depart baltimore on friday and arrive in san francisco by 8 pm	0	flight
show me flights from boston to san francisco	0	flight
list the delta airlines flights from boston to philadelphia	0	flight
show me the fares from dallas to san francisco	2	airfare
what nonstop flights between boston and washington arrive after 4 o'clock pm	0	flight
what is the distance from los angeles international airport to los angeles	7	distance
ground transportation in san jose	4	ground_service
please tell me how many nonstop flights there are from boston to atlanta	10	quantity
on the earliest flight from san francisco to atlanta on delta is a meal being served	0	flight
where does canadian airlines international fly	0	flight
what flights from denver to pittsburgh arrive before 8 in the morning	0	flight
find me the earliest flight from boston to atlanta	0	flight
list nonstop flights from houston to dallas which arrive before midnight	0	flight
show me the flights from boston to san francisco that stop in atlanta	0	flight
show me flights to san francisco from philadelphia stopping in dallas	0	flight
what city is the airport mco in	11	city
how much does it cost to rent a car in tacoma	9	ground_fare
show me flights from baltimore to dallas	0	flight
show me a list of ground transportation at denver	4	ground_service
i 'd like a flight from columbus to phoenix stopping in cincinnati and serving dinner what 's available	0	flight
also show me flights from san francisco to pittsburgh on tuesday	0	flight
show flights from dallas to oakland	0	flight
give me the cheapest flight from charlotte to long beach	0	flight
show me all flights from san francisco to pittsburgh	0	flight
find me a flight on united from boston to san francisco with a stopover in denver	0	flight
show me the last flight from love field	0	flight
what flights go from newark to boston after 5 pm	0	flight
what are all the flights from boston to dallas	0	flight
what is the earliest flight departing san francisco and arriving in boston on november ninth	0	flight
what is the earliest flight flying from pittsburgh to atlanta on july fifth	0	flight
please list available flights for next saturday from philadelphia to dallas	0	flight
what flights leave pittsburgh and arrive in los angeles after 5 pm on thursday	0	flight
what is the transportation time from the airport to boston	4	ground_service
