text	label
what is otherwise a sumptuous work of b-movie imagination 	positive
love cinema paradiso , whether the original version or new director 's cut 	positive
of moronic stunts 	negative
crime drama fare 	positive
evokes the style and flash of the double-cross that made mamet 's `` house of games '' and last fall 's `` heist '' so much fun . 	positive
tickles 	positive
've never seen ( a remake ) do anything as stomach-turning as the way adam sandler 's new movie rapes , pillages and incinerates frank capra 's classic 	negative
in the breathtakingly beautiful outer-space documentary space station 3d 	positive
writer-director douglas mcgrath 's even-toned direction 	positive
it is n't quite one of the worst movies of the year . 	negative
lame entertainment 	negative
ignites 	positive
a banal spiritual quest 	negative
a testament to the film 's considerable charm 	positive
makes this a high water mark for this genre 	positive
controversial 	negative
luridly graphic and laughably unconvincing 	negative
the vital action sequences 	positive
the film has a laundry list of minor shortcomings , 	negative
woo has as much right to make a huge action sequence as any director 	positive
the kind of movie that leaves vague impressions and a nasty aftertaste but little clear memory of its operational mechanics 	negative
strong education 	positive
in this remarkable and memorable film 	positive
restage the whole thing 	negative
to remember 	positive
's a lovely , eerie film that casts an odd , rapt spell . 	positive
distance it from the pack of paint-by-number romantic comedies 	positive
i last walked out on a movie 	negative
for those who pride themselves on sophisticated , discerning taste , this might not seem like the proper cup of tea , however it is almost guaranteed that even the stuffiest cinema goers will laugh their *** off for an hour-and-a-half . 	positive
brutally honest and 	positive
's a perfect show of respect to just one of those underrated professionals who deserve but rarely receive it 	positive
the smarter offerings 	positive
exciting plot 	positive
a thriller with an edge -- which is to say that it does n't follow the stale , standard , connect-the-dots storyline which has become commonplace in movies that explore the seamy underbelly of the criminal world . 	positive
reaction 	positive
with second helpings of love , romance , tragedy , false dawns , real dawns , comic relief , two separate crises during marriage ceremonies , and the lush scenery of the cotswolds 	positive
deals with hot-button issues in a comedic context 	positive
near miss 	negative
forget about it by monday , though 	negative
such a fine idea for a film , and such a stultifying , lifeless execution . 	negative
was so uninspiring 	negative
be expected from any movie with a `` 2 '' at the end of its title 	negative
slick and manufactured to claim street credibility 	positive
so vivid a portrait of a woman consumed by lust and love and crushed by betrayal that it conjures up the intoxicating fumes and emotional ghosts of a freshly painted rembrandt . 	positive
feel-bad ending 	negative
offers an aids subtext , skims over the realities of gay sex , and presents yet another tired old vision of the gay community as an all-inclusive world where uptight , middle class bores like antonia can feel good about themselves 	negative
falls to the floor with a sickening thud 	negative
visceral sensation 	positive
, at times sublime , 	positive
authentic account of a historical event that 's far too tragic to merit such superficial treatment . 	negative
a pleasant and engaging enough sit , 	positive
a warm , fuzzy feeling 	positive
a loathsome movie 	negative
's the brilliant surfing photography bringing you right inside the massive waves that lifts blue crush into one of the summer 's most pleasurable movies . 	positive
unique , well-crafted psychological study 	positive
crude to serve the work especially well 	positive
... an adorably whimsical comedy that deserves more than a passing twinkle . 	positive
the old mib label stands for milder is n't better . 	negative
is a masterpiece 	positive
great cinema 	positive
it 's refreshing that someone understands the need for the bad boy ; diesel , with his brawny frame and cool , composed delivery , fits the bill perfectly 	positive
afraid of the bad reviews 	negative
that it does n't give a damn 	negative
drowsy drama 	negative
convinced that this mean machine was a decent tv outing that just does n't have big screen magic 	negative
the emotional overload of female angst irreparably drags the film down . 	negative
ludicrous , but director carl franklin adds enough flourishes and freak-outs to make it entertaining . 	positive
has stepped into the mainstream of filmmaking with an assurance worthy of international acclaim and with every cinematic tool well under his control 	positive
a beyond-lame satire , 	negative
ca n't compare friday after next to them 	positive
an impressive hybrid . 	positive
that appeals to me 	positive
feel that you never want to see another car chase , explosion or gunfight again 	negative
by orchestrating a finale that is impenetrable and dull 	negative
... this story gets sillier , not scarier , as it goes along ... 	negative
has produced in recent memory , even if it 's far tamer than advertised . 	positive
idea ( of middle-aged romance ) is not handled well and , except for the fine star performances 	negative
energy and geniality to please not only the fanatical adherents on either side , but also people who know nothing about the subject and think they 	positive
does n't mean you have to check your brain at the door 	negative
is actually quite entertaining . 	positive
that does not move 	negative
special effect 	positive
the viewer feel like the movie 's various victimized audience members after a while 	negative
this nasty comedy 	negative
that the pocket monster movie franchise is nearly ready to keel over 	negative
with their charisma 	positive
is a sincerely crafted picture that deserves to emerge from the traffic jam of holiday movies 	positive
the distance 	positive
run out of clever ideas and visual gags 	negative
than a particularly slanted , gay s/m fantasy 	negative
of vignettes which only prove that ` zany ' does n't necessarily mean ` funny 	negative
it progresses in such a low-key manner that it risks monotony 	negative
, godard can still be smarter than any 50 other filmmakers still at work . 	positive
treats ana 's journey with honesty that is tragically rare in the depiction of young women in film 	positive
it 's the type of film about growing up that we do n't see often enough these days : realistic , urgent , and not 	positive
bad at it is cruel 	negative
gorgeous film a must for everyone from junior scientists to grown-up fish lovers 	positive
in a cinematic year already littered with celluloid garbage 	negative
a little violence and lots of sex in a bid to hold our attention 	negative
an alluring backdrop for this sensuous and spirited tale of a prim widow who finds an unlikely release in belly-dancing clubs 	positive
