text1	text2	label
How can I remove tar from my carpet?	What is the best way to remove tar from carpets?	duplicate
Who's the girl starring in charlie puth's we don't talk anymore music video?	"""What is the name of the girl that appeared in Shawn Mendes' music video for the song """"Treat you better""""?"""	not_duplicate
What is the origin of the Dallas Cowboys team name?	What is the origin of the Miami Dolphins team name?	not_duplicate
Why do people hate Islam and muslims?	Why do some people dislike Islam?	not_duplicate
Where can I hire a hacker?	How can I hire a hacker?	duplicate
League of Legends: What are the strengths and weaknesses of Brand?	League of Legends: What are the strengths and weaknesses of Vi?	not_duplicate
What is quorum journal manager in hadoop?	Who should learn hadoop?	not_duplicate
How does LinkedIn work? I'm getting connections so now what? How do I find a job?	How does LinkedIn work?	duplicate
How do I apply for voter id online for nagaland?	Can voter ID card be applied online?	duplicate
Is magic real? How do great magicians perform the trick? What is the real logic behind those tricks?	What are the tricks used by the magicians while they do magic?	not_duplicate
"""What is the first word that comes to your mind when you hear the word """"Mumbai""""?"""	"""What are the first words that come to your mind when you hear the word """"Entrepreneur""""?"""	not_duplicate
Which is the most potent sleeping pill available in India?	What over the counter sleeping pills do you get in India?	not_duplicate
How much does it cost to become an electrician?	How can I become a skydiving instructor in India and how much does it cost?	not_duplicate
Can you make wine from raisins?	Is there any health benefit you can get from red wine that you can't get from a grape?	not_duplicate
How can I stop masturbating forever?	How can I stop masturbations?	duplicate
What prize, money, and perks do recipients of civilian awards (Bharat Ratna, Padma Vibhushan, Rajiv Gandhi Khel Ratna, etc.) get?	What are the rewards(money,facilities etc) that a Khel Ratna Awardee gets?	not_duplicate
What is the employee discount for Amazon employees?	What employee discount do Amazon employees get?	duplicate
Why does my cat rub her face on my feet?	Why does my cat like to attack my feet?	not_duplicate
Is there a good written tutorial of React?	What would be best site/book/tutorial for a Scala beginner?	not_duplicate
How can I know if I can lose fat on my face or not?	My face is fat. How do I slim down my moon face?	not_duplicate
What happens when you mix water with electricity? How dangerous is it?	How can electricity flow through water?	not_duplicate
Mathematical Puzzles: What is () + () + () = 30 using 1,3,5,7,9,11,13,15?	What are the next two numbers in the sequence 9, 2, 4, 7, 13, 12, 17, 17, 30?	not_duplicate
How do I get in Harvard?	How do I get into Harvard for PhD?	not_duplicate
What would the conversation between PK and Sheldon Cooper be like?	Are there real life Sheldon Coopers?	not_duplicate
When did Philippines gain independence 1946 or 1898?	What country has lost the most territory since its independence?	not_duplicate
Why do I have feelings of fainting during a commercial flight take off?	Why do I have feeling of fainting during commercial plane take off?	duplicate
How can you check your Capital One credit card application status?	How do you get approved for a Best Buy credit card?	not_duplicate
What 's your favorite book?	What are some of your favorite books?	duplicate
What is the most tactless thing you have ever done?	What is the rudest thing you have ever done?	duplicate
How many beauty salons are there in the US?	I want to buy a beauty salon. How would I know someone selling it?	not_duplicate
To whom should I contact in TCS to ask for my rescheduled joining date?	Where sampling theorem is used?	not_duplicate
What is the best answer for tell me about yourself in an interview?	What should be the best answer for tell me something about yourself?	duplicate
Is work done by all non conservative forces, negative?	Is this a good laptop: ACER 15.6inch, i7-6500U, 12GB RAM, NVIDIA 980M 2GB, 2TB HDD, PRICE:-Rs.55000?	not_duplicate
Is Emily Rose's story a true story? Has someone seen her in real life?	Were there any cases of school hauntings or supernatural activity in history that got so severe that schools took action such as suspending classes?	not_duplicate
How does WhatsApp makes money?	What is whatsapp business model?	duplicate
How do I forget someone whom I once loved and cared for deeply?	How do I forget someone you were deeply in loved?	duplicate
Which is the best Destination for Ecotourism in Bangalore?	Is there an official PC software for Android/Galaxy phones similar to iTunes for Apple?	not_duplicate
What time of which day will the 2016 presidential election results be known?	What time will the 2016 Presidential Election winner be announced?	duplicate
How can you replace a video on YouTube while keeping the same URL?	Does YouTube cache the data while we watch the video? Is the same possible with desktops?	not_duplicate
Should I feel okay if my boyfriend wants a female roommate?	Should I worry that my boyfriend has a female roommate?	not_duplicate
How can I describe a buffer in RTL code?	Why is buffer size set in a C program?	not_duplicate
What hotel in Jabalpur would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?	What hotel in Allahabad would be safe for unmarried couples, without the harassment of police, hotel staff, and moral police?	not_duplicate
What is the best way to get a large number of upvotes for your answers on Quora?	How does someone get a lot of upvotes to an answer on Quora?	duplicate
What are some good books about time management?	What is the best book for time management?	duplicate
What is the best life changing decision you made?	What was the best decision you ever made?	duplicate
Is the Holocaust plausible?	What was the Holocaust?	not_duplicate
What would happen to earth if it was caught by a black hole?	What would happen to a planet if it was close to a black hole?	not_duplicate
What are the best mobile apps in India?	Who are the top mobile app developers in India?	not_duplicate
What are some advantages of fair trade?	What are the advantages of fair trade?	duplicate
How do I get rid of whiteheads on face?	How do I get rid of Whiteheads on my face?	duplicate
What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in Germany?	What are the laws to change your status from a student visa to a green card in the US, how do they compare to the immigration laws in UK?	not_duplicate
What is the best way of teaching english?	What is the best way to teach English to students?	not_duplicate
What is the definition of cell specialization?	What is the difference between an atom, a cell and a molecule?	not_duplicate
Symbols: What is an Ouroborus?	What objects symbolize freedom?	not_duplicate
What are the best business ideas in India to start with Rs.5 lakh?	What is the best business to start with a capital of 5 lakhs?	duplicate
Where can I get very innovative technology for floor polishing in Rydalmere?	Where can I get quality services to remove oil and stains from floors in Rydalmere?	not_duplicate
How much money does the average mobile game make?	How much money did you make after making your first iOS game?	not_duplicate
Are there any websites for downloading cracked Linux games like Ocean of Games for Windows?	Which is the best website to download game of thrones season 6?	not_duplicate
What is your least favorite U.S. state and why?	What is your least favorite U.S. state?	duplicate
Who is the best football player in the world and why?	Who are the best football player in the world?	duplicate
How do I get rid of ingrown hair?	How do you get rid of an ingrown hair in your armpit?	not_duplicate
What are some stores like Love Culture?	Are the store return policies in the US because of law or because of culture and consumer expectations?	not_duplicate
Why don't 8-months premature babies survive while 7-months do?	Why can't 1-6 month old babies be given drinking water, while breastmilk actually contains water (H2O)?	not_duplicate
How do you sell a hedge fund?	What's meant by hedge fund?	not_duplicate
What was the best scene in The Wire, Season 5?	What was the best scene in The Wire, Season 2?	not_duplicate
I am a Jain girl. I love a Bengali boy. Am I allowed to marry him? And will the society accept us?	I am a 23-year-old girl who is about to get married in 4 months. It's an arranged marriage. I have been with him for 5 months already and I am still not in love with my fiancé! In fact, I hate him because of his behaviour. My parents aren't supportive because of society's pressure. What should I do?	not_duplicate
What do you think about the rapist Donald Trump?	What do you think about Donald Trump pick?	duplicate
Which CS master’s schools accept a low GPA?	CS masters schools accepting low GPA?	duplicate
Is there anyone who has joined Defence Services through IES?	What score is required in IES to join the defense service? What is the merit criteria for various posts?	not_duplicate
Which is the AMD equivalent of Intel i5 processor?	What's the Intel equivalent of an AMD A9?	not_duplicate
Indian information service group B?	Why are financial markets so frightened of a Donald Trump win in the 2016 presidency?	not_duplicate
How should I prepare for my medical entrance examination?	How do I prepare for medical entrance?	duplicate
What is the corporate culture like at Annaly Capital? How is the culture different than other companies?	What is the corporate culture like at On Deck Capital? How is the culture different than other companies?	not_duplicate
Were Timothy Leary's facial proportions indicative of a man of low testosterone or high testosterone?	Were Einstein's facial proportions indicative of a man of low testosterone or high testosterone?	not_duplicate
Which are the best sites to learn drawing?	What is the best site for learning of drawing?	duplicate
Where can I find CPH4?	Does the C.P.H. 4 molecule really exist as shown in the movie Lucy? If so, how does it work?	not_duplicate
Would you push a button for one million dollars, if you knew one random person in the world would die when you push it?	If you could press a button and get $1,000,000,000 but you'd kill a million people, and everyone knew that you did, would you do it?	duplicate
What do you do when you have writers block?	How can I beat writer’s block?	duplicate
What are the tradeoffs of client-side rendering vs. server-side rendering?	What are some good ways to render JSON as HTML on the browser-side using JavaScript?	not_duplicate
I am a mechanical engineering student from the DTU with an aggregate of 63% until the 6th semester. Do I have any chance of a job in any automobile company?	I am a 2016 mechanical engineering passout from Delhi Technological University, is there any chance to get job off campus in any core company?	not_duplicate
What are some sad sounding songs that have happy lyrics?	What are recommendations of some songs with dark music but hopeful/happy lyrics?	duplicate
I had sex on the 9th and my period started on the 11th. Could I still get pregnant?	I've had sex during my fertile window but still bled the day before my expected period could I still be pregnant?	duplicate
What is the role of Naxals in India?	What is the background of naxalism in India?	not_duplicate
Should I buy the iPhone 7 if I currently have a 64 GB iPhone 6S? My iPhone 6s is working good but I just like new things	Should I buy iPhone 7 if I just recently bought iPhone 6s?	duplicate
What is gravity's effect on time?	What is the effect of gravity on time?	duplicate
Why it is always said that if you want something then aim higher than that?	What things are easier done than said?	not_duplicate
How many men have walked on the moon?	Was there anybody who went with the first man that walked on the moon?	not_duplicate
How can I know if I’m intelligent?	I'm smart, but I don't know a lot. Am I intelligent?	not_duplicate
What are the aptitude questions asked in aryaka networks?	What are aryaka networks aptitude questions?	duplicate
How can I start an online food delivery start?	How can I start online food delivery startup?	duplicate
Is the new MacBook Air powerful enough for running Ableton Live?	Is the new 2015 MacBook powerful enough for engineering school?	not_duplicate
What were the causes for World War 1?	What was the reason behind world war one and world war two ?	duplicate
