sentence	label	label_name
These terms and conditions, as may be amended from time to time, apply to all our services directly or indirectly (through distributors) made available online, through any mobile device, by email or by telephone.	0	potentially unfair
"By accessing, browsing and using our (mobile) website or any of our applications through whatever platform (hereafter collectively referred to as the ""Platform"") and/or by completing a reservation, you acknowledge and agree to have read, understood and agreed to the terms and conditions set out below (including the privacy statement)."	0	potentially unfair
Although we will use reasonable skill and care in performing our Trip Service, we will not verify if, and cannot guarantee that, all information is accurate, complete or correct, nor can we be held responsible for any errors (including manifest and typographical errors), any interruptions (whether due to any (temporary and/or partial) breakdown, repair, upgrade or maintenance of our Platform or otherwise), inaccurate, misleading or untrue information or non-delivery of information.	0	potentially unfair
Membership levels may vary and may be subject to change, at the sole discretion of Booking.com.	0	potentially unfair
Booking.com reserves the right to revoke and cancel the Genius membership of any individual in the event of abuse, such as violation of these terms & conditions, and/or use of invalid credit cards.	0	potentially unfair
Booking.com furthermore reserves the right to revoke and cancel the Genius membership of any individual who engages in inappropriate behavior, such as violence, threat, harassment, discrimination, obscenity or fraud in relation to Booking.com (or its employees and agents) and/or the accommodation (or its employees and agents).	0	potentially unfair
Booking.com may, at its discretion, (partially) alter, limit or modify the Genius programme structure or any other feature of the programme (including but not limited to the (status of the) subject Genius level(s)), for any reason, without prior notice.	0	potentially unfair
"Without notice to you, Booking.com also reserves the right to “unregister"" or otherwise disable an account that is inactive."	0	potentially unfair
Booking.com disclaims any liability or responsibility for any communication by or with the Trip Provider on or through its platform.	0	potentially unfair
We are not responsible or liable for (and have no obligation to verify) any wrong or misspelled email address or inaccurate or wrong (mobile) phone number or credit card number.	0	potentially unfair
We reserve the right to adjust, refuse, or remove reviews at our sole discretion insofar it violates our review policy.	0	potentially unfair
Booking.com and the Trip Provider are each entitled to terminate their relationship for whatever reason (including in the event of breach of contract or (filing for) bankruptcy) with due observance of the relevant notice period as agreed between both parties.	1	clearly unfair
Subject to the limitations set out in these terms and conditions and to the extent permitted by law, we shall only be liable for direct damages actually suffered, paid or incurred by you due to an attributable shortcoming of our obligations in respect to our services, up to an aggregate amount of the aggregate cost of your reservation as set out in the Trip Reservation confirmation email (whether for one event or series of connected events).	0	potentially unfair
However and to the extent permitted by law, neither we nor any of our officers, directors, employees, representatives, subsidiaries, affiliated companies, distributors, affiliate (distribution) partners, licensees, agents or others involved in creating, sponsoring, promoting, or otherwise making available the site and its contents shall be liable for (i) any punitive, special, indirect or consequential loss or damages, any loss of production, loss of profit, loss of revenue, loss of contract, loss of or damage to goodwill or reputation, loss of claim, (ii) any inaccuracy relating to the (descriptive) information (including rates, availability and ratings) of the Trip Provider as made available on our Platform, (iii) the services rendered or the products offered by the Trip Provider or other business partners, (iv) any (direct, indirect, consequential or punitive) damages, losses or costs suffered, incurred or paid by you, pursuant to, arising out of or in connection with the use, inability to use or delay of our Platform, or (v) any (personal) injury, death, property damage, or other (direct, indirect, special, consequential or punitive) damages, losses or costs suffered, incurred or paid by you, whether due to (legal) acts, errors, breaches, (gross) negligence, willful misconduct, omissions, non-performance, misrepresentations, tort or strict liability by or (wholly or partly) attributable to the Trip Provider or any of our other business partners (including any of their employees, directors, officers, agents, representatives, subcontractors or affiliated companies) whose products or service are (directly or indirectly) made available, offered or promoted on or through the Platform, including any (partial) cancellation, overbooking, strike, force majeure or any other event beyond our control.	1	clearly unfair
Booking.com is not responsible (and disclaims any liability) for the use, validity, quality, suitability, fitness and due disclosure of the Trip and makes no representations, warranties or conditions of any kind in this respect, whether implied, statutory or otherwise, including any implied warranties of merchantability, title, non-infringement or fitness for a particular purpose.	0	potentially unfair
You acknowledge and agree that the relevant Trip Provider is solely responsible and assumes all responsibility and liability in respect of the Trip (including any warranties and representations made by the Trip Provider).	0	potentially unfair
Booking.com is not responsible for and disclaims any liability in respect of such complaints, claims and (product) liabilities.	0	potentially unfair
Booking.com is not liable or responsible for the remittance, collection, withholding or payment of the relevant taxes due on the (Trip) price or fee to the relevant tax authorities.	0	potentially unfair
Booking.com disclaims all responsibility and liability for the pictures posted.	0	potentially unfair
Any photo/image that does not meet the aforesaid criteria will not be posted and/or can be removed/deleted by Booking.com at any time and without prior notice.	0	potentially unfair
These terms and conditions and the provision of our services shall be governed by and construed in accordance with Dutch law.	0	potentially unfair
"Notwithstanding the foregoing choice of law, a natural person using any of our services for a purpose which can be regarded as being outside their trade or profession (hereinafter also referred to as ""consumer"") can rely on the mandatory provisions of the law of the country where they have their habitual residence (i.e. provisions that, in accordance with the choice-of-law rules of the said country, must apply regardless of this choice-of-law clause; hereinafter: ""Mandatory Provisions"")."	2	clearly fair
Any dispute arising out of these general terms and conditions and our services shall exclusively be submitted to the competent courts in Amsterdam, the Netherlands.	1	clearly unfair
Notwithstanding the foregoing jurisdiction clause, a consumer may also bring proceedings in respect of enforcement of relevant applicable Mandatory Provisions in the courts of the country in which they are domiciled, and proceedings against a consumer may be brought only in the courts of the country in which they are domiciled.	2	clearly fair
By using our Services, you’re agreeing to be bound by these Terms, our Privacy Policy, and Acceptable Use Policy.	0	potentially unfair
We reserve the right to delete or disable content alleged to be infringing and terminate accounts of repeat infringers.	0	potentially unfair
If you don’t pay for your Paid Account on time, we reserve the right to suspend it or reduce your storage to free space levels.	0	potentially unfair
We may change the fees in effect but will give you advance notice of these changes via a message to the email address associated with your account.	0	potentially unfair
We reserve the right to suspend or terminate your access to the Services with notice to you if: (a) you’re in breach of these Terms, (b) you’re using the Services in a manner that would cause a real risk of harm or loss to us or other users, or (c) you don’t have a Paid Account and haven't accessed our Services for 12 consecutive months.	0	potentially unfair
If after such notice you fail to take the steps we ask of you, we’ll terminate or suspend your access to the Services.	0	potentially unfair
We won’t provide notice before termination where: (a) you’re in material breach of these Terms, (b) doing so would cause us legal liability or compromise our ability to provide the Services to our other users, or (c) we're prohibited from doing so by law.	0	potentially unfair
We may decide to discontinue the Services in response to unforeseen circumstances beyond Dropbox’s control or to comply with a legal requirement.	0	potentially unfair
