uid	sentence	label	label_name	tree
4422	"""but this time , lucy , instead of thinking of herself first is able to comfort dante and forgive his momentary rage ."""	1	Objective	"(20 (20 (55 "") (20 (24 (25 (85 but) (27 (81 this) (64 time))) (1 (1 (39 ,) (25 (41 lucy) (3 (7 (6 (28 (21 (8 (70 ,) (18 (60 instead) (12 (74 of) (27 (91 thinking) (12 (74 of) (27 (56 herself) (3 (28 (3 (62 first) (3 (89 is) (45 able))) (73 to)) (45 comfort)))))))) (70 dante)) (76 and)) (57 forgive)) (46 his)) (42 [UNK])))) (78 rage))) (77 .))) (55 ""))"
2665	"""rises and falls on the strength of its individual episodes . mostly , it rises , though its extreme length ill suits its anecdotal structure ( or perhaps vice versa ) ."""	0	Subjective	"(20 (20 (55 "") (20 (24 (25 (58 rises) (1 (76 and) (3 (59 falls) (1 (49 on) (27 (27 (81 the) (11 (65 strength) (12 (74 of) (27 (46 its) (51 individual))))) (44 [UNK])))))) (1 (39 .) (25 (58 mostly) (1 (39 ,) (25 (41 it) (3 (59 rises) (1 (1 (39 ,) (25 (85 though) (27 (52 its) (2 (32 extreme) (84 length))))) (78 ill)))))))) (31 (1 (49 suits) (27 (27 (52 its) (2 (44 [UNK]) (84 structure))) (8 (70 () (8 (70 or) (15 (82 perhaps) (8 (63 vice) (8 (44 [UNK]) (34 ))))))))) (77 .)))) (55 ""))"
5650	the mismatch between whitey's good heart and never-ending optimism and davey's constant troublemaking soon have them both wondering if going to jail wouldn't have been easier !	1	Objective	(20 (24 (25 (13 (43 the) (0 (44 [UNK]) (12 (74 between) (27 (35 [UNK]) (8 (8 (28 (38 ') (67 s)) (2 (32 good) (84 heart))) (8 (8 (76 and) (2 (86 never) (10 (66 -) (2 (68 ending) (8 (42 [UNK]) (8 (76 and) (82 davey))))))) (8 (8 (28 (38 ') (67 s)) (51 constant)) (42 [UNK])))))))) (3 (62 soon) (3 (89 have) (27 (83 them) (33 both))))) (1 (39 wondering) (25 (88 if) (24 (25 (58 going) (1 (49 to) (56 jail))) (1 (28 (28 (28 (62 wouldn) (28 (38 ') (67 t))) (86 have)) (86 been)) (87 easier)))))) (36 !))
4312	"""the course of their experiences ultimately involves with sammy boi , an aggressive rapper caught in a bad contract while on of his songs is a major radio hit ; joan vicks , a devious a&#38 ; r executive for viewpointe records , randy tigge , a drug addicted , cross-dressing rock star ; and michael dileo , the chairman of viewpointe record , who some simply call satan ."""	1	Objective	"(20
  (20
    (55 "")
    (20
      (24 (25 (13 (43 the) (11 (65 course) (12 (74 of) (27 (46 their) (51 experiences))))) (3 (62 ultimately) (3 (59 involves) (1 (49 with) (27 (35 [UNK]) (8 (42 [UNK]) (8 (39 ,) (27 (52 an) (2 (32 aggressive) (84 rapper)))))))))) (1 (18 (60 caught) (12 (74 in) (27 (52 a) (2 (32 bad) (84 contract))))) (1 (39 while) (24 (25 (13 (49 on) (12 (74 of) (27 (46 his) (51 songs)))) (3 (3 (89 is) (27 (52 a) (2 (32 major) (84 radio)))) (27 (54 hit) (8 (70 ;) (15 (82 joan) (8 (44 [UNK]) (1 (39 ,) (24 (25 (29 (52 a) (61 [UNK])) (52 a)) (1 (49 &) (27 (81 #) (11 (65 38) (12 (74 ;) (27 (53 r) (92 executive)))))))))))))) (1 (49 for) (27 (35 [UNK]) (8 (8 (42 [UNK]) (8 (70 ,) (61 [UNK]))) (42 [UNK]))))))))
      (31 (1 (39 ,) (24 (25 (27 (52 a) (2 (32 drug) (84 addicted))) (3 (28 (21 (8 (70 ,) (15 (82 cross) (8 (66 -) (23 (50 dressing) (2 (32 rock) (84 star)))))) (70 ;)) (76 and)) (27 (90 michael) (61 [UNK])))) (1 (39 ,) (24 (25 (52 the) (0 (44 [UNK]) (12 (74 of) (27 (44 [UNK]) (92 record))))) (1 (39 ,) (25 (41 who) (3 (6 (28 (93 some) (62 simply)) (57 call)) (83 satan)))))))) (77 .))))
  (55 ""))"
4096	"""on her nightly retreat to an abandoned cemetery , alenka is surprised by a singular night-guard whose duty it is to ensure that no ghosts escape the premises ."""	1	Objective	"(20 (20 (55 "") (20 (24 (25 (13 (49 on) (29 (52 her) (61 [UNK]))) (3 (28 (40 retreat) (73 to)) (27 (52 an) (2 (32 abandoned) (84 cemetery))))) (1 (39 ,) (24 (25 (44 [UNK]) (3 (89 is) (45 surprised))) (1 (49 by) (27 (27 (52 a) (2 (32 singular) (84 night))) (8 (66 -) (23 (50 guard) (8 (70 whose) (82 duty))))))))) (31 (25 (13 (25 (41 it) (3 (28 (40 is) (73 to)) (45 ensure))) (75 that)) (3 (6 (28 (89 no) (86 ghosts)) (57 escape)) (27 (81 the) (64 premises)))) (77 .)))) (55 ""))"
391	what jackson has accomplished here is amazing on a technical level .	0	Subjective	(20 (24 (25 (13 (25 (13 (88 what) (80 jackson)) (3 (89 has) (45 accomplished))) (41 here)) (3 (89 is) (45 amazing))) (1 (49 on) (27 (52 a) (2 (32 technical) (84 level))))) (77 .))
2502	"""an impossible romance , but we root for the patronized iranian lad ."""	0	Subjective	"(20 (20 (55 "") (20 (27 (52 an) (2 (32 impossible) (84 romance))) (31 (1 (39 ,) (25 (13 (88 but) (80 we)) (3 (59 root) (1 (49 for) (27 (27 (52 the) (2 (44 [UNK]) (84 iranian))) (44 [UNK])))))) (77 .)))) (55 ""))"
4095	"""immediately they are further sent to romulus , where a new praetor , shinzon , a half-reman cloned from captain picard , appears to want peace with the federation ."""	1	Objective	"(20 (20 (55 "") (20 (24 (25 (13 (88 immediately) (80 they)) (3 (28 (3 (28 (89 are) (86 further)) (45 sent)) (73 to)) (45 [UNK]))) (1 (39 ,) (25 (88 where) (24 (25 (27 (52 a) (2 (32 new) (42 [UNK]))) (8 (21 (8 (70 ,) (61 [UNK])) (70 ,)) (27 (52 a) (2 (68 half) (8 (66 -) (23 (35 [UNK]) (44 [UNK]))))))) (1 (49 from) (27 (90 captain) (61 [UNK]))))))) (31 (1 (39 ,) (25 (3 (28 (40 appears) (73 to)) (45 want)) (18 (60 peace) (12 (74 with) (27 (81 the) (64 federation)))))) (77 .)))) (55 ""))"
1601	the script falls back on too many tried-and-true shenanigans that hardly distinguish it from the next teen comedy .	0	Subjective	(20 (24 (25 (13 (43 the) (69 script)) (3 (59 falls) (47 back))) (1 (49 on) (27 (27 (37 too) (71 many)) (8 (63 tried) (8 (66 -) (23 (76 and) (10 (66 -) (2 (32 true) (42 [UNK]))))))))) (31 (1 (39 that) (24 (25 (41 hardly) (3 (59 [UNK]) (47 it))) (1 (49 from) (27 (52 the) (2 (95 next) (2 (32 teen) (84 comedy))))))) (77 .)))
4633	"""otjen is helming the pic , holly mosher produces ."""	1	Objective	"(20 (20 (55 "") (20 (24 (25 (41 otjen) (3 (89 is) (27 (44 [UNK]) (27 (81 the) (64 pic))))) (1 (39 ,) (25 (27 (61 [UNK]) (35 [UNK])) (79 produces)))) (77 .))) (55 ""))"
3063	"""in the end , each must deal with the mysterious and , perhaps , scandalous reason their affair suddenly ended ."""	1	Objective	"(20 (20 (55 "") (20 (24 (25 (85 in) (27 (81 the) (64 end))) (1 (39 ,) (25 (41 each) (3 (89 must) (45 deal))))) (31 (1 (1 (49 with) (27 (52 the) (2 (68 mysterious) (8 (76 and) (2 (5 (8 (70 ,) (15 (82 perhaps) (8 (70 ,) (61 [UNK])))) (92 reason)) (13 (27 (46 their) (51 affair)) (48 suddenly))))))) (78 ended)) (77 .)))) (55 ""))"
2576	"""rarely , a movie is more than a movie . go ."""	0	Subjective	"(20 (20 (55 "") (20 (24 (25 (58 rarely) (1 (39 ,) (25 (13 (43 a) (69 movie)) (3 (89 is) (45 more))))) (1 (49 than) (27 (81 a) (64 movie)))) (31 (1 (77 .) (58 go)) (77 .)))) (55 ""))"
820	a film about a young man finding god that is accessible and touching to the marrow .	0	Subjective	(20 (24 (25 (13 (43 a) (69 film)) (1 (49 about) (27 (52 a) (2 (32 young) (84 man))))) (1 (49 finding) (27 (54 god) (8 (8 (75 that) (3 (89 is) (45 accessible))) (8 (76 and) (82 touching)))))) (31 (1 (49 to) (27 (81 the) (61 [UNK]))) (77 .)))
2287	"""while """" real women have curves """" suffers from an obvious and simplistic screenplay , it's a bright looking , well-acted charmer ."""	0	Subjective	"(20 (20 (55 "") (20 (24 (25 (88 while) (24 (25 (13 (27 (55 "") (55 "")) (13 (90 real) (92 women))) (3 (89 have) (45 curves))) (1 (1 (55 "") (55 "")) (78 suffers)))) (1 (49 from) (27 (52 an) (2 (68 obvious) (8 (76 and) (2 (32 simplistic) (84 screenplay))))))) (31 (1 (39 ,) (25 (41 it) (3 (28 (38 ') (67 s)) (27 (52 a) (2 (68 bright) (8 (63 looking) (8 (70 ,) (15 (82 well) (8 (66 -) (23 (50 acted) (84 charmer))))))))))) (77 .)))) (55 ""))"
190	"""except for paymer as the boss who ultimately expresses empathy for bartleby's pain , the performances are so stylized as to be drained of human emotion ."""	0	Subjective	"(20 (20 (55 "") (20 (24 (25 (13 (25 (58 except) (1 (49 for) (27 (44 [UNK]) (1 (49 as) (27 (81 the) (64 boss)))))) (75 who)) (3 (62 ultimately) (3 (59 [UNK]) (47 empathy)))) (1 (1 (49 for) (27 (80 bartleby) (28 (38 ') (67 s)))) (78 pain))) (31 (1 (39 ,) (24 (25 (13 (43 the) (69 performances)) (3 (89 are) (27 (37 so) (71 stylized)))) (1 (6 (28 (40 as) (73 to)) (57 be)) (0 (44 [UNK]) (12 (74 of) (27 (53 human) (92 emotion))))))) (77 .)))) (55 ""))"
832	"""it's push-the-limits teen comedy , the type written by people who can't come up with legitimate funny , and it's used so extensively that good bits are hopelessly overshadowed ."""	0	Subjective	"(20 (20 (55 "") (20 (24 (25 (41 it) (3 (28 (38 ') (67 s)) (27 (54 push) (8 (66 -) (23 (81 the) (10 (66 -) (2 (95 limits) (2 (32 teen) (84 comedy))))))))) (1 (39 ,) (24 (25 (27 (81 the) (64 type)) (79 written)) (1 (49 by) (27 (54 people) (8 (75 who) (3 (3 (62 can) (3 (28 (38 ') (67 t)) (45 come))) (47 up)))))))) (31 (1 (49 with) (27 (35 [UNK]) (8 (8 (63 funny) (8 (70 ,) (24 (25 (88 and) (24 (25 (41 it) (3 (28 (38 ') (67 s)) (45 used))) (1 (37 so) (61 [UNK])))) (1 (39 that) (25 (13 (90 good) (92 bits)) (3 (89 are) (45 hopelessly))))))) (42 [UNK])))) (77 .)))) (55 ""))"
3207	the deeper matt runs into the forest the farther his mind is lost to the blackwoods .	1	Objective	(20 (24 (25 (13 (43 the) (69 deeper)) (3 (62 matt) (59 runs))) (1 (49 into) (27 (81 the) (64 forest)))) (31 (25 (13 (29 (52 the) (61 [UNK])) (27 (46 his) (51 mind))) (3 (28 (3 (89 is) (45 lost)) (73 to)) (27 (81 the) (61 [UNK])))) (77 .)))
5899	"""his peace is shattered in august 1947 , however , when india is granted independence ."""	1	Objective	"(20 (20 (55 "") (20 (24 (25 (27 (46 his) (51 peace)) (3 (89 is) (45 [UNK]))) (1 (49 in) (27 (90 august) (61 [UNK])))) (31 (1 (39 ,) (25 (58 however) (1 (39 ,) (25 (13 (88 when) (80 india)) (3 (28 (89 is) (86 granted)) (45 independence)))))) (77 .)))) (55 ""))"
245	i'll go out on a limb . it isn't quite one of the worst movies of the year . it's just merely very bad .	0	Subjective	(20 (24 (25 (41 i) (3 (6 (28 (38 ') (67 ll)) (57 go)) (83 out))) (1 (49 on) (27 (81 a) (64 limb)))) (31 (1 (39 .) (24 (25 (41 it) (3 (62 isn) (3 (6 (28 (38 ') (67 t)) (57 quite)) (27 (93 one) (12 (74 of) (27 (52 the) (2 (68 worst) (11 (65 movies) (12 (74 of) (27 (81 the) (64 year))))))))))) (1 (39 .) (25 (41 it) (3 (6 (28 (28 (38 ') (67 s)) (86 just)) (57 merely)) (27 (37 very) (71 bad))))))) (77 .)))
1411	"""the x potion gives the quickly named blossom , bubbles and buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately don't enable them to discern flimsy screenplays ."""	0	Subjective	"(20 (20 (55 "") (20 (24 (25 (22 (43 the) (2 (32 x) (42 [UNK]))) (3 (89 gives) (27 (52 the) (2 (68 quickly) (8 (70 named) (61 [UNK])))))) (1 (39 ,) (25 (13 (25 (58 bubbles) (1 (76 and) (3 (42 [UNK]) (27 (53 supernatural) (92 powers))))) (75 that)) (3 (89 include) (27 (27 (53 extraordinary) (92 strength)) (8 (76 and) (2 (95 laser) (10 (66 -) (2 (44 [UNK]) (84 eyes)))))))))) (31 (1 (39 ,) (25 (41 which) (3 (6 (28 (3 (62 unfortunately) (3 (62 don) (3 (6 (28 (38 ') (67 t)) (57 [UNK])) (83 them)))) (73 to)) (57 [UNK])) (27 (61 [UNK]) (35 [UNK]))))) (77 .)))) (55 ""))"
