tokens	ner_tags	text
['With', 'this', 'trend', ',', 'suddenly', 'the', 'mature', 'faces', 'of', 'managers', 'boasting', 'an', 'average', 'of', 'over', 'ten', 'years', 'of', 'professional', 'experience', 'have', 'flooded', 'in', 'among', 'the', 'young', 'people', 'populating', 'university', 'campuses', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	With this trend , suddenly the mature faces of managers boasting an average of over ten years of professional experience have flooded in among the young people populating university campuses .
['In', 'response', ',', 'each', 'year', 'over', '1000', 'mature', 'professionals', 'looking', 'to', 'recharge', 'their', 'minds', 'and', 'retool', 'their', 'know', '-', 'how', 'compete', 'for', 'a', 'precious', 'few', 'openings', 'in', 'executive', 'degree', 'programs', 'at', 'top', 'institutions', 'such', 'as', 'National', 'Taiwan', 'University', '-LRB-', 'NTU', '-RRB-', 'and', 'National', 'Chengchi', 'University', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O']	In response , each year over 1000 mature professionals looking to recharge their minds and retool their know - how compete for a precious few openings in executive degree programs at top institutions such as National Taiwan University -LRB- NTU -RRB- and National Chengchi University .
"['Morris', 'Chang', ',', 'chairman', 'of', 'TSMC', 'and', 'a', 'leading', 'light', 'of', 'Taiwan', ""'s"", 'high', '-', 'tech', 'industry', ',', 'is', 'the', 'hottest', 'university', 'lecturer', 'around', '.']"	['B-PERSON', 'I-PERSON', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	Morris Chang , chairman of TSMC and a leading light of Taiwan 's high - tech industry , is the hottest university lecturer around .
"['Various', 'indications', 'demonstrate', 'that', 'the', '""', 'back', 'flow', 'education', '""', 'promoted', 'by', 'the', 'Ministry', 'of', 'Education', 'has', 'become', 'the', 'hottest', 'investment', 'undertaking', 'among', 'Taiwan', ""'s"", 'universities', '.']"	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'O']	"Various indications demonstrate that the "" back flow education "" promoted by the Ministry of Education has become the hottest investment undertaking among Taiwan 's universities ."
['Three', 'years', 'ago', ',', 'in', 'the', 'effort', 'to', 'establish', 'a', 'greater', 'diversity', 'of', 'higher', 'educational', 'avenues', ',', 'the', 'Ministry', 'of', 'Education', '-LRB-', 'MOE', '-RRB-', 'greatly', 'increased', 'the', 'number', 'of', 'MA', 'degrees', 'open', 'to', 'professionals', 'in', 'the', 'workforce', ',', 'steadily', 'reducing', 'the', 'proportion', 'of', 'regular', 'students', 'to', 'professionals', 'from', 'the', 'previous', '9', '-', 'to', '-', '1', 'ratio', '.']	['B-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'B-WORK_OF_ART', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O']	Three years ago , in the effort to establish a greater diversity of higher educational avenues , the Ministry of Education -LRB- MOE -RRB- greatly increased the number of MA degrees open to professionals in the workforce , steadily reducing the proportion of regular students to professionals from the previous 9 - to - 1 ratio .
['In', 'addition', ',', 'the', 'MOE', 'allowed', 'universities', 'to', 'determine', 'entrance', 'examination', 'topics', ',', 'testing', 'dates', 'and', 'times', ',', 'and', 'fee', 'structures', 'individually', 'to', 'help', 'them', 'find', 'and', 'obtain', 'the', 'best', 'students', '.']	['O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	In addition , the MOE allowed universities to determine entrance examination topics , testing dates and times , and fee structures individually to help them find and obtain the best students .
['Among', 'them', ',', 'the', 'Institute', 'of', 'Fiber', 'planned', 'to', 'accept', '10', 'students', ',', 'but', 'only', '20', 'applied', ',', 'resulting', 'in', 'a', '50', '%', 'acceptance', 'rate', ';', 'meanwhile', ',', 'the', 'Institute', 'of', 'Mechanical', 'Engineering', 'had', 'only', '30', 'applicants', 'for', '10', 'spots', '.']	['O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'B-PERCENT', 'I-PERCENT', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'B-CARDINAL', 'O', 'O']	Among them , the Institute of Fiber planned to accept 10 students , but only 20 applied , resulting in a 50 % acceptance rate ; meanwhile , the Institute of Mechanical Engineering had only 30 applicants for 10 spots .
['The', 'NTUST', 'College', 'of', 'Management', 'attracted', 'nearly', '500', 'applicants', 'with', 'over', '10', 'years', 'of', 'work', 'experience', 'for', '20', 'spots', 'in', 'its', 'executive', 'management', 'program', 'beginning', 'in', '1999', '.']	['O', 'B-ORG', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DATE', 'O']	The NTUST College of Management attracted nearly 500 applicants with over 10 years of work experience for 20 spots in its executive management program beginning in 1999 .
['When', '95', 'spots', 'were', 'offered', 'the', 'following', 'year', ',', 'the', 'number', 'of', 'applicants', 'rose', 'again', 'to', '1400', '.']	['O', 'B-CARDINAL', 'O', 'O', 'O', 'B-DATE', 'I-DATE', 'I-DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CARDINAL', 'O']	When 95 spots were offered the following year , the number of applicants rose again to 1400 .
['Currently', ',', 'around', 'a', 'dozen', 'public', 'and', 'private', 'universities', 'in', 'Taiwan', ',', 'including', 'NTU', ',', 'National', 'Chiaotung', 'University', ',', 'National', 'Sun', 'Yat', '-', 'sen', 'University', ',', 'Da', '-', 'Yeh', 'Institute', 'of', 'Technology', ',', 'and', 'Yuan', '-', 'Ze', 'Institute', 'of', 'Technology', ',', 'offer', 'advanced', 'degree', 'programs', 'for', 'executive', 'management', 'personnel', '.']	['O', 'O', 'B-CARDINAL', 'I-CARDINAL', 'I-CARDINAL', 'O', 'O', 'O', 'O', 'O', 'B-GPE', 'O', 'O', 'B-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'B-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'I-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	Currently , around a dozen public and private universities in Taiwan , including NTU , National Chiaotung University , National Sun Yat - sen University , Da - Yeh Institute of Technology , and Yuan - Ze Institute of Technology , offer advanced degree programs for executive management personnel .
