tokens	ner_tags	text
['it', 'is', 'a', 'series', 'of', 'badminton', 'tournaments', ',', 'sanctioned', 'by', 'badminton', 'world', 'federation', '(', 'bwf', ')', 'since', '2007', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GRP', 'I-GRP', 'I-GRP', 'O', 'O', 'O', 'O', 'O', 'O']	it is a series of badminton tournaments , sanctioned by badminton world federation ( bwf ) since 2007 .
['he', 'worked', 'in', 'a', 'bookstore', 'before', 'becoming', 'a', 'journalist', ',', 'first', 'for', 'le', 'devoir', ',', 'and', 'then', 'for', 'cité', 'libre', ',', 'for', 'which', 'he', 'later', 'became', 'the', 'director', '.']	['O', 'O', 'O', 'O', 'B-GRP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GRP', 'I-GRP', 'O', 'O', 'O', 'O', 'B-CW', 'I-CW', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	he worked in a bookstore before becoming a journalist , first for le devoir , and then for cité libre , for which he later became the director .
['kingdom', 'hospital', ',', 'lewiston', 'from', 'stephen', 'king', 'miniseries', 'of', 'the', 'same', 'name']	['B-CW', 'I-CW', 'O', 'B-LOC', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O', 'O', 'O']	kingdom hospital , lewiston from stephen king miniseries of the same name
['rinder', 'did', 'not', 'speak', 'on', 'camera', 'because', 'he', 'promised', 'his', 'first', 'interview', 'to', 'the', 'bbc', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CORP', 'O']	rinder did not speak on camera because he promised his first interview to the bbc .
['indigenous', 'outlaw', 'musquito', 'defied', 'colonial', 'law', 'and', 'led', 'attacks', 'on', 'settlers', '.']	['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	indigenous outlaw musquito defied colonial law and led attacks on settlers .
['a', 'code', 'generation', 'usually', 'converts', 'some', 'intermediate', 'representation', 'of', 'source', 'code', 'into', 'machine', 'code', '.']	['O', 'B-CW', 'I-CW', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	a code generation usually converts some intermediate representation of source code into machine code .
['france', 'proletarian', 'unity', 'party', '(', 'pup', ')', '(', 'from', '1933', ')']	['O', 'B-GRP', 'I-GRP', 'I-GRP', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	france proletarian unity party ( pup ) ( from 1933 )
['the', 'crew', 'intended', 'the', 'movie', 'to', 'be', 'a', 'continuation', 'of', 'the', 'season', 'five', 'finale', 'the', 'end', ',', 'but', 'was', 'also', 'meant', 'to', 'stand', 'on', 'its', 'own', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-CW', 'I-CW', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']	the crew intended the movie to be a continuation of the season five finale the end , but was also meant to stand on its own .
['arovane', 'can', 'possibly', 'be', 'compared', 'to', 'a', 'blend', 'between', 'the', 'robotic', 'glitch', 'sound', 'of', 'early', 'autechre', 'and', 'the', 'expansive', 'open', 'synth', 'laden', 'fields', 'of', 'boards', 'of', 'canada', '.']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GRP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-GRP', 'I-GRP', 'I-GRP', 'O']	arovane can possibly be compared to a blend between the robotic glitch sound of early autechre and the expansive open synth laden fields of boards of canada .
['mingus', 'left', 'in', '1951', 'and', 'red', 'mitchell', 'replaced', 'him', '.']	['O', 'O', 'O', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O']	mingus left in 1951 and red mitchell replaced him .
